run_id,app_type,microphone,camera,screen,duration,app,network,memory,energy,cpu
178-e,electron,1,1,1,8,2,64470,2.20171,40.60566,0.18589
179-e,electron,1,0,1,8,1,12256,1.80684,40.7094,0.14626
18-e,electron,1,0,0,2,1,3938,1.54017,10.36985,0.06598
180-e,electron,1,1,1,8,3,125365,2.40702,41.00419,0.22224
181-e,electron,1,1,0,2,3,32733,2.17607,10.18235,0.18703
182-e,electron,1,0,1,2,3,5387,2.30342,10.19373,0.18859
183-e,electron,1,1,1,2,2,15886,2.20171,10.08745,0.18268
184-e,electron,1,0,0,8,3,15525,2.02854,40.98998,0.11771
185-e,electron,1,0,0,8,1,5581,1.70258,40.95596,0.08899
186-e,electron,1,0,0,2,3,3295,2.01111,10.19813,0.11786
187-e,electron,1,0,1,2,1,4079,1.81121,10.20592,0.14832
188-e,electron,1,1,0,8,1,73680,1.71902,40.42216,0.21395
189-e,electron,1,1,0,2,2,16193,2.22222,10.18327,0.19053
19-e,electron,1,1,1,2,1,5139,1.81368,10.29321,0.12273
190-e,electron,1,0,1,2,3,4938,2.30339,10.28685,0.1894
191-e,electron,1,0,0,8,2,64403,1.9045,41.36446,0.12612
192-e,electron,1,1,0,2,2,16338,2.19915,10.1505,0.1996
2-e,electron,1,1,1,8,1,61281,1.83355,40.9926700000001,0.16656
20-e,electron,1,0,0,8,1,6525,1.5243,41.65321,0.06516
21-e,electron,1,0,1,2,2,51154,2.18333,10.1396,0.29457
22-e,electron,1,0,1,2,1,6104,1.81624,10.20112,0.15196
23-e,electron,1,1,0,8,2,98729,2.00043,40.52414,0.1551
24-e,electron,1,1,1,2,1,17555,1.85339,10.3101,0.15898
25-e,electron,1,1,1,8,1,55227,1.89766,41.48081,0.15341
26-e,electron,1,1,0,8,2,98708,2.00043,40.80805,0.1483
27-e,electron,1,0,1,2,2,39917,2.19153,10.34716,0.20664
28-e,electron,1,0,0,2,2,16167,1.9,9.90810000000001,0.10507
29-e,electron,1,0,0,8,3,4209,1.99319,40.3123099999999,0.09027
3-e,electron,1,0,0,8,3,4224,1.96888,41.35549,0.1098
30-e,electron,1,0,1,8,2,150621.25,2.16674,41.52127,0.21086
31-e,electron,1,1,0,8,2,99353,2.00533,40.9463,0.15645
32-e,electron,1,0,1,8,1,12444,1.80449,40.63816,0.1502
33-e,electron,1,0,1,2,2,41676,2.12458,10.41841,0.20878
34-e,electron,1,0,0,2,3,1034,2,10.13652,0.08257
35-e,electron,1,0,1,2,1,4436,1.81111,10.19948,0.14436
36-e,electron,1,0,0,2,1,3969,1.66239,9.99882,0.09655
37-e,electron,1,0,0,8,3,4433,1.99021,40.76896,0.09326
38-e,electron,1,0,1,2,3,1775,2.30424,10.57029,0.11482
39-e,electron,1,0,0,8,1,6587,1.68584,39.7559,0.09299
4-e,electron,1,1,1,2,2,50705,2.3,10.00346,0.22021
40-e,electron,1,0,1,2,1,4473,1.81709,10.29245,0.15095
41-e,electron,1,0,0,2,3,1029,2,10.28974,0.08913
42-e,electron,1,1,1,2,1,15607,1.86356,10.27754,0.15554
43-e,electron,1,0,0,2,2,16158,1.92931,9.99196,0.10837
44-e,electron,1,1,0,2,3,32101,2.20254,10.50149,0.12151
45-e,electron,1,0,0,8,1,6454,1.69421,39.98608,0.08833
46-e,electron,1,0,1,8,2,150621.25,2.15711,41.78515,0.18961
47-e,electron,1,1,1,8,1,63947,1.81064,41.72184,0.15649
48-e,electron,1,0,0,8,1,6570,1.68927,39.69386,0.09318
49-e,electron,1,1,1,8,1,51926,1.77058,41.2935700000001,0.15626
51-e,electron,1,0,1,2,2,41532,2.15169,10.3258,0.19546
52-e,electron,1,1,1,2,1,14963,1.84615,10.2639,0.16053
53-e,electron,1,1,1,8,2,150621.25,2.29002,41.5611400000001,0.19924
54-e,electron,1,1,1,8,2,150621.25,2.28962,41.55683,0.20077
55-e,electron,1,1,1,2,3,30574,2.41356,10.5503,0.16349
56-e,electron,1,1,1,8,2,150621.25,2.29407,41.55497,0.20249
57-e,electron,1,1,1,8,3,103751,2.40403,42.50351,0.16262
58-e,electron,1,0,0,8,3,4345,1.99362,40.41054,0.09397
59-e,electron,1,0,0,8,3,4151,1.98358,40.444,0.08709
6-e,electron,1,0,0,2,1,3251,1.66552,10.2076,0.08448
61-e,electron,1,0,0,2,3,1021,2,10.10184,0.08459
62-e,electron,1,1,0,2,1,21981,1.74359,10.1098,0.18937
63-e,electron,1,0,0,8,2,63856,1.90644,40.22997,0.10212
64-e,electron,1,1,1,8,2,150621.25,2.29958,41.85115,0.21147
65-e,electron,1,0,1,8,2,150621.25,2.13941,41.96286,0.19352
66-e,electron,1,1,1,8,1,60156,1.74915,41.65497,0.15576
67-e,electron,1,1,0,8,1,74606,1.61301,41.34925,0.18536
68-e,electron,1,0,1,2,2,40774,2.13305,10.33287,0.20296
69-e,electron,1,0,0,8,2,64540,1.89206,39.78656,0.10674
7-e,electron,1,0,1,8,3,7196,2.29104,41.0346300000001,0.19599
70-e,electron,1,0,0,2,2,16089,1.89828,9.96888,0.10975
71-e,electron,1,1,0,2,3,28785,2.20254,10.42888,0.11726
72-e,electron,1,1,0,2,1,20692,1.75508,10.27027,0.19082
73-e,electron,1,1,1,8,1,52904,1.81489,42.23104,0.1528
74-e,electron,1,0,1,8,3,6898,2.30085,42.33449,0.12103
75-e,electron,1,1,0,2,1,22010,1.66068,10.19438,0.19396
76-e,electron,1,1,1,2,2,49443,2.3,10.34026,0.20626
77-e,electron,1,1,0,2,1,21290,1.66154,10.36173,0.18812
78-e,electron,1,1,1,8,2,150621.25,2.29767,41.66209,0.20012
79-e,electron,1,1,0,2,3,30731,2.20254,10.42191,0.10673
8-e,electron,1,1,1,8,3,118588,2.40299,40.7157,0.22137
80-e,electron,1,1,0,2,2,24863,2.00171,10.26638,0.15126
81-e,electron,1,0,1,2,2,41901,2.14615,10.03845,0.1984
83-e,electron,1,1,1,2,2,50824,2.29492,10.16846,0.20965
84-e,electron,1,1,1,8,3,110156,2.40745,41.7015,0.20908
85-e,electron,1,0,1,8,1,11765,1.80363,40.82099,0.14029
86-e,electron,1,0,1,8,1,12827,1.80513,40.78891,0.13918
87-e,electron,1,1,0,2,3,31864,2.14492,10.51491,0.16584
88-e,electron,1,0,0,8,3,146367,2.06724,40.93606,0.12299
89-e,electron,1,0,0,2,2,16226,1.90086,10.21992,0.10051
9-e,electron,1,0,1,8,3,6932,2.30085,41.0197100000001,0.17758
90-e,electron,1,1,1,8,2,150621.25,2.29745,40.46869,0.2067
91-e,electron,1,1,0,2,3,27640,2.14068,10.47726,0.16608
93-e,electron,1,1,0,8,1,75590,1.71581,40.33165,0.19268
96-e,electron,1,1,0,8,1,76335,1.71581,40.53246,0.19223
97-e,electron,1,1,0,2,2,24505,2.00172,10.28927,0.15818
98-e,electron,1,1,0,8,1,75673,1.68632,40.34762,0.1917
99-e,electron,1,0,0,8,2,64546,1.89204,41.5114000000001,0.1031
92-e,electron,1,0,0,2,3,1021,2,10.10184,0.08459
60-e,electron,1,0,0,8,2,64546,1.89204,41.5114000000001,0.1031
82-e,electron,1,0,1,2,1,4473,1.81709,10.29245,0.15095
94-e,electron,1,0,1,2,1,4473,1.81709,10.29245,0.15095
5-e,electron,1,0,1,8,3,6932,2.30085,41.0197100000001,0.17758
50-e,electron,1,1,0,8,2,99353,2.00533,40.9463,0.15645
95-e,electron,1,1,1,2,1,14963,1.84615,10.2639,0.16053
